Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1041,20,17/03/2022 01:00,Vivint Arena,Utah Jazz,Chicago Bulls,125 - 110
1056,21,19/03/2022 02:00,Footprint Center,Phoenix Suns,Chicago Bulls,129 - 102
1076,21,22/03/2022 00:00,United Center,Chicago Bulls,Toronto Raptors,113 - 99
1082,21,23/03/2022 00:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,126 - 98
1098,22,25/03/2022 00:00,Smoothie King Center,New Orleans Pelicans,Chicago Bulls,126 - 109
1110,22,27/03/2022 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,94 - 98
1126,22,28/03/2022 23:30,Madison Square Garden,New York Knicks,Chicago Bulls,109 - 104
1132,22,29/03/2022 23:00,Capital One Arena,Washington Wizards,Chicago Bulls,94 - 107
1149,23,01/04/2022 00:00,United Center,Chicago Bulls,LA Clippers,135 - 130
1164,23,03/04/2022 00:00,United Center,Chicago Bulls,Miami Heat,109 - 127
1183,23,06/04/2022 00:00,United Center,Chicago Bulls,Milwaukee Bucks,106 - 127
1193,23,07/04/2022 00:00,United Center,Chicago Bulls,Boston Celtics,94 - 117
1208,24,09/04/2022 00:00,United Center,Chicago Bulls,Charlotte Hornets,117 - 133
1224,24,11/04/2022 00:30,Target Center,Minnesota Timberwolves,Chicago Bulls,120 - 124
