Match Number,Round Number,Date,Location,Home Team,Away Team,Result
4,1,20/10/2021 23:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,88 - 94
22,1,23/10/2021 00:00,United Center,Chicago Bulls,New Orleans Pelicans,128 - 112
30,1,24/10/2021 00:00,United Center,Chicago Bulls,Detroit Pistons,97 - 82
46,1,25/10/2021 23:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,108 - 111
67,2,29/10/2021 00:00,United Center,Chicago Bulls,New York Knicks,103 - 104
83,2,31/10/2021 00:00,United Center,Chicago Bulls,Utah Jazz,107 - 99
98,2,01/11/2021 23:30,TD Garden,Boston Celtics,Chicago Bulls,114 - 128
111,2,03/11/2021 23:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,103 - 98
135,3,07/11/2021 00:00,United Center,Chicago Bulls,Philadelphia 76ers,105 - 114
148,3,09/11/2021 01:00,United Center,Chicago Bulls,Brooklyn Nets,118 - 95
163,3,11/11/2021 01:00,United Center,Chicago Bulls,Dallas Mavericks,117 - 107
183,4,13/11/2021 03:00,Chase Center,Golden State Warriors,Chicago Bulls,119 - 93
198,4,15/11/2021 02:30,STAPLES Center,LA Clippers,Chicago Bulls,90 - 100
209,4,16/11/2021 03:30,STAPLES Center,Los Angeles Lakers,Chicago Bulls,103 - 121
223,4,18/11/2021 03:00,Moda Center,Portland Trail Blazers,Chicago Bulls,112 - 107
236,5,20/11/2021 02:00,Ball Arena,Denver Nuggets,Chicago Bulls,108 - 114
250,5,22/11/2021 01:00,United Center,Chicago Bulls,New York Knicks,109 - 103
257,5,23/11/2021 01:00,United Center,Chicago Bulls,Indiana Pacers,77 - 109
271,5,25/11/2021 01:00,Toyota Center,Houston Rockets,Chicago Bulls,118 - 113
283,6,27/11/2021 00:00,Amway Center,Orlando Magic,Chicago Bulls,88 - 123
296,6,28/11/2021 01:00,United Center,Chicago Bulls,Miami Heat,104 - 107
307,6,30/11/2021 01:00,United Center,Chicago Bulls,Charlotte Hornets,133 - 119
328,7,03/12/2021 00:30,Madison Square Garden,New York Knicks,Chicago Bulls,115 - 119
343,7,05/12/2021 01:00,Barclays Center,Brooklyn Nets,Chicago Bulls,107 - 111
357,7,07/12/2021 01:00,United Center,Chicago Bulls,Denver Nuggets,109 - 97
367,7,09/12/2021 00:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,Chicago Bulls,115 - 92
394,8,12/12/2021 01:00,FTX Arena,Miami Heat,Chicago Bulls,118 - 92
448,9,20/12/2021 01:00,United Center,Chicago Bulls,Los Angeles Lakers,115 - 110
459,9,21/12/2021 01:00,United Center,Chicago Bulls,Houston Rockets,133 - 118
499,10,27/12/2021 01:00,United Center,Chicago Bulls,Indiana Pacers,113 - 105
502,10,28/12/2021 00:30,State Farm Arena,Atlanta Hawks,Chicago Bulls,118 - 130
519,10,30/12/2021 01:00,United Center,Chicago Bulls,Atlanta Hawks,131 - 117
530,11,31/12/2021 20:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,106 - 108
541,11,02/01/2022 00:00,Capital One Arena,Washington Wizards,Chicago Bulls,119 - 120
555,11,04/01/2022 01:00,United Center,Chicago Bulls,Orlando Magic,102 - 98
585,12,08/01/2022 01:00,United Center,Chicago Bulls,Washington Wizards,130 - 122
603,12,10/01/2022 00:30,American Airlines Center,Dallas Mavericks,Chicago Bulls,113 - 99
415,12,12/01/2022 01:00,United Center,Chicago Bulls,Detroit Pistons,133 - 87
625,12,13/01/2022 03:00,United Center,Chicago Bulls,Brooklyn Nets,112 - 138
637,13,15/01/2022 00:30,United Center,Chicago Bulls,Golden State Warriors,96 - 138
647,13,16/01/2022 01:30,TD Garden,Boston Celtics,Chicago Bulls,114 - 112
658,13,17/01/2022 20:30,FedExForum,Memphis Grizzlies,Chicago Bulls,119 - 106
673,13,20/01/2022 01:00,United Center,Chicago Bulls,Cleveland Cavaliers,117 - 104
690,14,22/01/2022 01:00,Fiserv Forum,Milwaukee Bucks,Chicago Bulls,94 - 90
701,14,23/01/2022 23:00,Amway Center,Orlando Magic,Chicago Bulls,114 - 95
730,14,25/01/2022 01:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,110 - 111
472,14,27/01/2022 01:00,United Center,Chicago Bulls,Toronto Raptors,111 - 105
742,15,29/01/2022 01:30,AT&T Center,San Antonio Spurs,Chicago Bulls,131 - 122
753,15,30/01/2022 20:30,United Center,Chicago Bulls,Portland Trail Blazers,130 - 116
430,15,02/02/2022 00:30,Scotiabank Arena,Toronto Raptors,Chicago Bulls,110 - 106
769,15,02/02/2022 01:00,United Center,Chicago Bulls,Orlando Magic,126 - 115
789,16,05/02/2022 00:00,Gainbridge Fieldhouse,Indiana Pacers,Chicago Bulls,115 - 122
802,16,06/02/2022 20:30,United Center,Chicago Bulls,Philadelphia 76ers,108 - 119
812,16,08/02/2022 01:00,United Center,Chicago Bulls,Phoenix Suns,124 - 127
826,16,10/02/2022 00:30,Spectrum Center,Charlotte Hornets,Chicago Bulls,109 - 121
843,17,12/02/2022 01:00,United Center,Chicago Bulls,Minnesota Timberwolves,134 - 122
852,17,13/02/2022 01:00,United Center,Chicago Bulls,Oklahoma City Thunder,106 - 101
861,17,15/02/2022 01:00,United Center,Chicago Bulls,San Antonio Spurs,120 - 109
878,17,17/02/2022 01:00,United Center,Chicago Bulls,Sacramento Kings,125 - 118
891,18,25/02/2022 01:00,United Center,Chicago Bulls,Atlanta Hawks,112 - 108
909,18,27/02/2022 01:00,United Center,Chicago Bulls,Memphis Grizzlies,110 - 116
922,18,01/03/2022 00:30,FTX Arena,Miami Heat,Chicago Bulls,112 - 99
710,19,04/03/2022 00:00,State Farm Arena,Atlanta Hawks,Chicago Bulls,130 - 124
949,19,05/03/2022 00:30,United Center,Chicago Bulls,Milwaukee Bucks,112 - 118
969,19,08/03/2022 00:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,121 - 106
982,19,10/03/2022 00:00,Little Caesars Arena,Detroit Pistons,Chicago Bulls,108 - 114
1006,20,13/03/2022 01:00,United Center,Chicago Bulls,Cleveland Cavaliers,101 - 91
1026,20,15/03/2022 02:00,Golden 1 Center,Sacramento Kings,Chicago Bulls,112 - 103
