Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,13/09/2021 00:20,SoFi Stadium,Los Angeles Rams,Chicago Bears,34 - 14
29,2,19/09/2021 17:00,Soldier Field,Chicago Bears,Cincinnati Bengals,20 - 17
43,3,26/09/2021 17:00,FirstEnergy Stadium,Cleveland Browns,Chicago Bears,26 - 6
60,4,03/10/2021 17:00,Soldier Field,Chicago Bears,Detroit Lions,24 - 14
70,5,10/10/2021 20:05,Allegiant Stadium,Las Vegas Raiders,Chicago Bears,9 - 20
90,6,17/10/2021 17:00,Soldier Field,Chicago Bears,Green Bay Packers,14 - 24
98,7,24/10/2021 20:25,Raymond James Stadium,Tampa Bay Buccaneers,Chicago Bears,38 - 3
119,8,31/10/2021 17:00,Soldier Field,Chicago Bears,San Francisco 49ers,22 - 33
123,9,09/11/2021 01:15,Heinz Field,Pittsburgh Steelers,Chicago Bears,29 - 27
164,11,21/11/2021 18:00,Soldier Field,Chicago Bears,Baltimore Ravens,13 - 16
180,12,25/11/2021 17:30,Ford Field,Detroit Lions,Chicago Bears,14 - 16
191,13,05/12/2021 18:00,Soldier Field,Chicago Bears,Arizona Cardinals,22 - 33
196,14,13/12/2021 01:20,Lambeau Field,Green Bay Packers,Chicago Bears,45 - 30
214,15,21/12/2021 01:15,Soldier Field,Chicago Bears,Minnesota Vikings,9 - 17
229,16,26/12/2021 21:05,Lumen Field,Seattle Seahawks,Chicago Bears,24 - 25
254,17,02/01/2022 18:00,Soldier Field,Chicago Bears,New York Giants,29 - 3
265,18,09/01/2022 18:00,U.S. Bank Stadium,Minnesota Vikings,Chicago Bears,31 - 17
